"Nº";"Disciplina";"Dificuldade";"Pergunta";"A";"B";"C";"D";"Correta"
"1";"Informática";"Fácil";"O que significa HTML?";"HyperText Markup Language";"High Transfer Machine";"HyperTool Multi Logic";"Home Text Master";"A"
"2";"Informática";"Fácil";"Qual linguagem estiliza páginas web?";"JavaScript";"PHP";"CSS";"Python";"C"
"3";"Informática";"Fácil";"O que é um algoritmo?";"Um vírus";"Sequência de passos para resolver um problema";"Um hardware";"Um sistema operacional";"B"
"4";"Informática";"Fácil";"O que significa CPU?";"Central Processing Unit";"Computer Power Unit";"Core Program Utility";"Central Power Upload";"A"
"5";"Informática";"Fácil";"Extensão de arquivos JavaScript?";".java";".js";".jscript";".script";"B"
"6";"Informática";"Fácil";"O que é um banco de dados?";"Um tipo de rede";"Conjunto organizado de informações";"Um antivírus";"Um tipo de memória";"B"
"7";"Informática";"Fácil";"Qual tag HTML cria um link?";"<link>";"<url>";"<a>";"<href>";"C"
"8";"Informática";"Fácil";"O que significa 'open source'?";"Software pago";"Código aberto para uso";"Software empresarial";"Sistema operacional";"B"
"9";"Informática";"Fácil";"O que é a internet?";"Um computador";"Rede mundial de computadores";"Editor de texto";"Sistema operacional";"B"
"10";"Informática";"Fácil";"Qual é um sistema operacional?";"Microsoft Word";"Google Chrome";"Windows 10";"Adobe Photoshop";"C"
"11";"Informática";"Fácil";"O que faz a tecla 'Delete'?";"Salva arquivo";"Apaga caractere à frente";"Copia texto";"Desfaz ação";"B"
"12";"Informática";"Fácil";"O que significa WWW?";"World Wide Web";"World Wire Web";"Wide World Wire";"Web World Wide";"A"
"13";"Informática";"Fácil";"Dispositivo para imprimir documentos?";"Scanner";"Monitor";"Impressora";"Teclado";"C"
"14";"Informática";"Fácil";"Arquivo com extensão .pdf é:";"Arquivo de imagem";"Arquivo de áudio";"Documento portátil";"Arquivo de vídeo";"C"
"15";"Informática";"Fácil";"Atalho para copiar?";"Ctrl+X";"Ctrl+V";"Ctrl+C";"Ctrl+Z";"C"
"16";"Informática";"Fácil";"O que é RAM?";"Memória de acesso aleatório";"Disco rígido";"Processador";"Placa de vídeo";"A"
"17";"Informática";"Fácil";"O que faz o botão direito do mouse?";"Abre um arquivo";"Exibe menu de contexto";"Fecha uma janela";"Move um arquivo";"B"
"18";"Informática";"Fácil";"Qual é um navegador de internet?";"Windows";"Notepad";"Google Chrome";"Microsoft Excel";"C"
"19";"Informática";"Fácil";"O que é um pixel?";"Um processador";"Menor unidade de imagem digital";"Um cabo de rede";"Um tipo de memória";"B"
